"sheet_date","Families","Individuals","Refused","Female H.H.","Male","Female","Indiv. Disabled","Veteran","New To System","Impact Avenues","EAS","Wellsky","DCF/TANF","Employment","SSI/SSD","VA Disability","Social Security","Unemp./Workers Comp.","Pensions (VA, RR, ETC.)","Child Support","No Income","Food Stamps","WIC","Kancare","Health Access","Budget Problems","Car Repairs","Check Late","Crime Victim","Domestic Problems","Homeless/Evicted","Illness/Death","In Treatment","Lack of Effort","Lack of Work","Laid Off/Fired","Moving Expenses","Released from Jail","School","DCF Pending","SSI/SSD Pending","Utilities High/Off","Food","Utilities","Medical - RX","Medical - Dental","Rent","Transportation - Bus","Transportation - Gas","TRSNPT - Auto Services","Miscellaneous","Education/Childcare","Phone Bill","Outreach","Christmas","Water Share","Food (lbs)","Under 5","5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 40","41 to 44","45 to 54","55 to 64","65 to 74","Over 75","At or Below Poverty","Near Poverty","Black","White","Hispanic","Indian","Homeless","66602","66603","66604","66605","66606","66607","66608","66609","66610","66611","66612","66613","66614","66615","66616","66617","66618","66619","Outside of Topeka"
2023-01-01,0.0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,"0",0,0,0,"0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,0.0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,"0",0,0,0,"0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,0.0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,"0",0,0,0,"0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-04,19.0,54,0,7,26,28,8,0,0,0,0,0,"1/6.","8/33.","8",0,"0",0,0,0,"5","8/25.",2,24,0,"9/26.","0","0","0","2/10.","1/1.","3/8.","1/1.","1/4.","12/42.","3/12.","0","0","2/9.","0","1/4.","11/43.","9/18.","11/42.","0","0","0","0","0","0","0","0","0","5/19.","0","0",613.0,7,8,9,2,3,3,3,4,7,4,4,0,0,13,2,7,8,2,1,0,0,1,6,5,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0
2023-01-05,13.0,29,0,4,6,23,3,0,0,0,0,0,"1/4.","5/16.","3",0,"3",0,0,1,"0","5/13.",1,11,0,"9/22.","1/3.","0","0","1/1.","0","2/5.","0","2/3.","1/2.","2/2.","1/2.","1/1.","0","0","0","5/11.","8/16.","9/23.","1/1.","0","0","0","0","0","0","0","0","2/5.","0","0",537.0,1,4,5,2,0,0,4,2,1,7,3,0,0,9,0,5,7,1,0,0,0,0,3,1,1,2,1,0,0,0,0,0,3,0,2,0,0,0,0
2023-01-06,11.0,29,0,1,15,14,2,0,2,0,0,0,"1/2.","2/9.","2",0,"1",0,0,0,"5","5/11.",1,9,0,"6/16.","0","0","0","0","1/1.","6/18.","0","2/6.","8/22.","2/6.","0","0","0","0","0","7/21.","2/3.","8/22.","1/1.","0","0","0","0","0","0","0","0","4/9.","0","0",123.0,4,1,4,2,6,3,0,3,1,2,2,1,0,8,1,3,7,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,4,0,2,0,0,0,0
2023-01-07,0.0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,"0",0,0,0,"0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,0.0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0,"0",0,0,0,"0","0",0,0,0,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,22.0,47,5,2,26,21,10,0,1,0,0,0,"1/2.","7/22.","10",0,"1",0,0,0,"6","8/16.",1,16,0,"9/19.","0","0","0","1/2.","2/2.","5/13.","0","3/6.","7/22.","2/5.","1/1.","2/2.","0","0","0","3/12.","11/19.","5/20.","2/3.","0","0","0","1/1.","0","0","0","0","2/6.","0","0",659.0,6,0,3,8,3,4,2,8,5,3,5,0,1,10,4,7,14,1,0,0,0,2,2,0,3,2,5,0,0,1,2,0,4,0,0,0,0,1,0
2023-01-10,9.0,32,0,1,19,13,6,0,0,0,0,0,"0","6/24.","4",0,"0",0,0,0,"1","1/6.",2,9,0,"8/29.","0","0","0","0","0","1/3.","0","0","3/10.","0","0","0","0","0","0","1/5.","5/19.","1/5.","1/3.","0","1/4.","0","0","0","0","0","0","1/1.","0","0",419.0,5,8,3,2,2,3,1,4,0,1,3,0,0,6,1,6,3,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0
